player_name,position,birthday,feet,inches,weight(lbs.),born,college,high_school_name,high_school_state,draft_team,draft_info
Jake Reed,: DB,1996-03-11,6,1,194,"
    in Frisco, TX",Tulsa,NA,NA,NA,NA
Ed McCaffrey,: WR,1968-08-17,6,5,215,"
    in Waynesboro, PA",Stanford,Central Catholic,PA,New York Giants,Draft: New York Giants in the 3rd round (83rd overall) of the 1991 NFL Draft.
Jordan Cameron,: DE,1989-07-10,6,4,287,"
    in Chandler, AZ",California,Chandler,AZ,New Orleans Saints,Draft: New Orleans Saints in the 1st round (24th overall) of the 2011 NFL Draft.
Paul Richardson,: WR,1992-04-13,6,0,180,"
    in Los Angeles, CA",Colorado,Junipero Serra,CA,Seattle Seahawks,Draft: Seattle Seahawks in the 2nd round (45th overall) of the 2014 NFL Draft.
Pete Mitchell,: DE-DT,1975-06-19,6,3,290,"
    in Abbeville, LA",Texas A&M,Abbeville,LA,New England Patriots,Draft: New England Patriots in the 2nd round (59th overall) of the 1997 NFL Draft.
Timothy Wright,: TE,1990-04-07,6,4,245,"
    in Wall Township, NJ",Rutgers,Wall,NJ,NA,
Lee Evans,: DE-DT,1964-03-14,6,2,282,"
    in Raleigh, NC",Winston-Salem St.,Athens Drive,NC,Los Angeles Rams,Draft: Los Angeles Rams in the 2nd round (47th overall) of the 1987 NFL Draft.
Darrel Williams,: RB,1995-04-15,5,11,219,"
    in Marrero, LA",LSU,John Ehret,LA,NA,
Eric Johnson,: DE,1916-10-04,6,1,196,"
    in Larrabee, IA",Minnesota,Slayton,MN,NA,
Tim Brown,: WR,1966-07-22,6,0,195,"
    in Dallas, TX",Notre Dame,Woodrow Wilson,TX,Los Angeles Raiders,Draft: Los Angeles Raiders in the 1st round (6th overall) of the 1988 NFL Draft.
LaMont Jordan,: RB,1978-11-11,5,10,242,"
    in Suitland, MD",Maryland,Suitland,MD,New York Jets,Draft: New York Jets in the 2nd round (49th overall) of the 2001 NFL Draft.
Andre Brown,: WR,1966-08-21,6,3,210,"
    in Chicago, IL",Miami (FL),Fenger,IL,NA,
Rob Johnson,: C,1946-08-19,6,5,262,"
    in Gary, IN",Tennessee,Bradley,TN,Cincinnati Bengals,Draft: Cincinnati Bengals in the 1st round (2nd overall) of the 1968 NFL Draft.
Steve Johnson,: DE-LB,1953-08-14,6,2,240,"
    in Moline, IL",Missouri,Riverdale,IL,Buffalo Bills,Draft: Buffalo Bills in the 12th round (305th overall) of the 1975 NFL Draft.
Bill Schroeder,: WR,1971-01-09,6,3,200,"
    in Eau Claire, WI",Wisconsin–LaCrosse,South,WI,Green Bay Packers,Draft: Green Bay Packers in the 6th round (181st overall) of the 1994 NFL Draft.
D.J. Moore,: WR,1997-04-14,5,11,210,"
    in Philadelphia, PA",Maryland,Imhotep Charter Regional,PA,Carolina Panthers,Draft: Carolina Panthers in the 1st round (24th overall) of the 2018 NFL Draft.
Greg Lewis,: P,1951-10-30,5,11,188,"
    in Birmingham, AL",Alabama,Woodlawn,AL,New York Jets,Draft: New York Jets in the 8th round (187th overall) of the 1974 NFL Draft.
Josh Downs,NA,2001-08-12,NA,NA,NA,"
    in GA",North Carolina,North Gwinnett,GA,Indianapolis Colts,Draft: Indianapolis Colts in the 3rd round (79th overall) of the 2023 NFL Draft.
Justin Watson,: RB,1975-01-07,6,0,220,"
    in Bronx, NY",San Diego St.,Marshall,CA,NA,
Mark Clayton,: WR,1961-04-08,5,9,177,"
    in Indianapolis, IN",Louisville,Cathedral,IN,Miami Dolphins,Draft: Miami Dolphins in the 8th round (223rd overall) of the 1983 NFL Draft.
Vincent Brown,NA,1989-01-25,NA,NA,NA,"
    in Upland, CA",San Diego St.,Rancho Cucamonga,CA,San Diego Chargers,Draft: San Diego Chargers in the 3rd round (82nd overall) of the 2011 NFL Draft.
Julius Thomas,: RB,1947-06-21,6,1,220,"
    in Dallas, TX",West Texas A&M,Lincoln,TX,Dallas Cowboys,Draft: Dallas Cowboys in the 1st round (23rd overall) of the 1970 NFL Draft.
Jason Hill,: WR,1976-04-05,5,11,210,"
    in Patterson, LA",Florida,Patterson,LA,New York Giants,Draft: New York Giants in the 1st round (7th overall) of the 1997 NFL Draft.
Calvin Ridley,: WR,1994-12-20,6,1,190,"
    in Fort Lauderdale, FL",Alabama,Monarch,FL,Atlanta Falcons,Draft: Atlanta Falcons in the 1st round (26th overall) of the 2018 NFL Draft.
Jim Harbaugh,: QB,1963-12-23,6,3,215,"
    in Toledo, OH",Michigan,Pioneer,MI,Chicago Bears,Draft: Chicago Bears in the 1st round (26th overall) of the 1987 NFL Draft.
Chris Warren,: G,1973-04-04,6,1,300,"
    in Lexington, MO",Kansas,Lexington,MO,Denver Broncos,Draft: Denver Broncos in the 7th round (226th overall) of the 1996 NFL Draft.
Andre Williams,: RB,1992-08-28,6,0,220,"
    in Poughkeepsie, NY",Boston Col.,Parkland,PA,New York Giants,Draft: New York Giants in the 4th round (113th overall) of the 2014 NFL Draft.
Rex Grossman,: QB,1980-08-23,6,1,225,"
    in Bloomington, IN",Florida,Bloomington South,IN,Chicago Bears,Draft: Chicago Bears in the 1st round (22nd overall) of the 2003 NFL Draft.
Byron Leftwich,: QB,1980-01-14,6,5,250,"
    in Washington, DC",Marshall,H.D. Woodson,DC,Jacksonville Jaguars,Draft: Jacksonville Jaguars in the 1st round (7th overall) of the 2003 NFL Draft.
Donald Brown,: T,1959-04-02,6,6,262,"
    in San Jose, CA",Santa Clara,Camden,CA,NA,
Charles Clay,: TE,1989-02-13,6,3,246,"
    in Little Rock, AR",Tulsa,Little Rock Central,AR,Miami Dolphins,Draft: Miami Dolphins in the 6th round (174th overall) of the 2011 NFL Draft.
Derrick Alexander,: WR,1971-11-06,6,2,195,"
    in Detroit, MI",Michigan,Benedictine,MI,Cleveland Browns,Draft: Cleveland Browns in the 1st round (29th overall) of the 1994 NFL Draft.
A.J. Dillon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
